tmdb_id,imdb_id,title,original_title,original_language,release_date,year,runtime_min,genres,popularity,vote_average,vote_count,budget_usd,revenue_usd,overview,tagline,director,top_cast,production_companies,production_countries,us_rating,keywords,poster_path,tmdb_url
1523145,tt38190257,Your Heart Will Be Broken,Твоё сердце будет разбито,es,2026-03-26,2026,134,"Romance, Drama",1192.7521,6.5,50,0,0,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",,Mikhail Vaynberg,"Daniel Vegas, Veronika Zhuravleva, Ivan Trushin, Maksim Saprykin, Alya Mayer","All Media A Start Company, START Studio, Sverdlovsk Film Studio, Cinema Foundation of Russia, Yellow, Black & White, Premier Studios",Russia,,based on novel or book,https://image.tmdb.org/t/p/w500/7wIBfBl2gejt6xHxNSK0reVIm7E.jpg,https://www.themoviedb.org/movie/1523145
83533,tt1757678,Avatar: Fire and Ash,Avatar: Fire and Ash,en,2025-12-17,2025,198,"Science Fiction, Adventure, Fantasy",437.4182,7.37,2439,350000000,1485899271,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",The world of Pandora will change forever.,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Oona Chaplin","20th Century Studios, Lightstorm Entertainment, TSG Entertainment",United States of America,PG-13,"witch, clone, space war, tribe, sequel, alien, transhumanism, family, space adventure, family dynamics",https://image.tmdb.org/t/p/w500/bRBeSHfGHwkEpImlhxPmOcUsaeg.jpg,https://www.themoviedb.org/movie/83533
1327819,tt26443616,Hoppers,Hoppers,en,2026-03-04,2026,105,"Animation, Family, Science Fiction, Comedy, Adventure",400.5687,7.599,416,150000000,333296279,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",Act natural.,Daniel Chong,"Piper Curda, Bobby Moynihan, Jon Hamm, Kathy Najimy, Dave Franco",Pixar,United States of America,PG,"human vs nature, spy, beaver, transhumanism, consciousness, aftercreditsstinger, duringcreditsstinger, human becoming an animal, robotic animal, 3d animation",https://image.tmdb.org/t/p/w500/xjtWQ2CL1mpmMNwuU5HeS4Iuwuu.jpg,https://www.themoviedb.org/movie/1327819
1171145,tt32430579,Crime 101,Crime 101,en,2026-02-11,2026,141,"Crime, Thriller",321.7823,7.04,557,90000000,72334698,"When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher.",Always have an exit.,Bart Layton,"Chris Hemsworth, Mark Ruffalo, Halle Berry, Barry Keoghan, Monica Barbaro","Working Title Films, The Story Factory, RAW, Amazon MGM Studios, Wild State","United Kingdom, United States of America",R,"robbery, based on novel or book, jewelry, heist, police chase, los angeles, california, police detective, diamond heist, insurance, lapd",https://image.tmdb.org/t/p/w500/tVvpFIoteRHNnoZMhdnwIVwJpCA.jpg,https://www.themoviedb.org/movie/1171145
1290821,tt32357218,Shelter,Shelter,en,2026-01-28,2026,107,"Action, Crime, Thriller",302.5824,6.8,496,50000000,49305541,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",Her safety. His mission.,Ric Roman Waugh,"Jason Statham, Bodhi Rae Breathnach, Michael Shaeffer, Anna Crilly, Bill Nighy","Black Bear Pictures, Punch Palace Productions, CineMachine, Stampede Ventures","United States of America, United Kingdom",R,"ghosts of the past, child protection, apologetic, solitary life",https://image.tmdb.org/t/p/w500/buPFnHZ3xQy6vZEHxbHgL1Pc6CR.jpg,https://www.themoviedb.org/movie/1290821
1115544,tt27552099,Mike & Nick & Nick & Alice,Mike & Nick & Nick & Alice,en,2026-03-14,2026,107,"Comedy, Science Fiction, Crime",295.1354,6.877,191,0,0,"Two gangsters and the woman they love try to survive the most dangerous night of their lives. As if that wasn’t enough, there’s one wild ingredient added to the mix: a time machine.","A time-traveling, double-crossing, ass-kicking comedy.",BenDavid Grabinski,"James Marsden, Vince Vaughn, Eiza González, Keith David, Jimmy Tatro","20th Century Studios, Mad Chance",United States of America,R,"time travel, time machine, buddy comedy, violence action, action sequence, action film, action choreography, sci-fi action, multi‑timeline characters, unpredictable situations",https://image.tmdb.org/t/p/w500/7F0jc75HrSkLVcvOXR2FXAIwuEv.jpg,https://www.themoviedb.org/movie/1115544
1226863,tt28650488,The Super Mario Galaxy Movie,The Super Mario Galaxy Movie,en,2026-04-01,2026,98,"Animation, Adventure, Fantasy, Family, Comedy, Science Fiction",294.0076,6.922,303,110000000,414219939,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",The galaxy awaits.,"Michael Jelenic, Aaron Horvath","Chris Pratt, Charlie Day, Anya Taylor-Joy, Jack Black, Keegan-Michael Key","Illumination, Universal Pictures, Nintendo","Japan, United States of America",PG,"galaxy, friendship, sibling relationship, space travel, turtle, sequel, slapstick comedy, magic mushroom, robot, based on video game",https://image.tmdb.org/t/p/w500/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg,https://www.themoviedb.org/movie/1226863
1268127,tt32606470,Humint,휴민트,ko,2026-02-11,2026,120,"Thriller, Action, Drama",237.7213,7.242,63,16000000,13207600,A South Korean agent hunts a drug ring in Russia and goes head-to-head with a North Korean operative — pulling both into peril and tangled secrets.,Intelligence gathering through human sources.,Ryoo Seung-wan,"Zo In-sung, Park Jeong-min, Park Hae-joon, Shin Sae-kyeong, Robert Maaser",Filmmaker R&K,South Korea,,"double agent, double cross, undercover operation, frantic, south korea, north korea, inter-korean relations, political conspiracy, spy vs spy, deadly alliance",https://image.tmdb.org/t/p/w500/82bX2GK4PhaJQtfkTnfmd2P7erG.jpg,https://www.themoviedb.org/movie/1268127
1297842,tt27613895,GOAT,GOAT,en,2026-02-11,2026,100,"Animation, Comedy, Family",235.3578,7.88,343,90000000,185251324,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",You're never too small to dream big.,Tyree Dillihay,"Caleb McLaughlin, Gabrielle Union, Stephen Curry, Aaron Pierre, Nicola Coughlan","Sony Pictures Animation, Unanimous Media, Modern Magic, Columbia Pictures, MACRO, TSG Entertainment",United States of America,PG,"underdog, friendship, sports, allies, ambition, bullying, challenge, basketball, rivalry, coming of age",https://image.tmdb.org/t/p/w500/wfuqMlaExcoYiUEvKfVpUTt1v4u.jpg,https://www.themoviedb.org/movie/1297842
840464,tt14850054,Greenland 2: Migration,Greenland 2: Migration,en,2026-01-07,2026,98,"Adventure, Thriller, Science Fiction",228.9322,6.5,825,90000000,44579387,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",Hope is uncharted territory.,Ric Roman Waugh,"Gerard Butler, Morena Baccarin, Roman Griffin Davis, Tommie Earl Jenkins, Trond Fausa Aurvåg","Lionsgate, STXfilms, Anton, Thunder Road, G-BASE, CineMachine","United Kingdom, United States of America",PG-13,"natural disaster, shelter, survival, disaster, audacious",https://image.tmdb.org/t/p/w500/z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg,https://www.themoviedb.org/movie/840464
1084187,tt26678938,Pretty Lethal,Pretty Lethal,en,2026-03-13,2026,89,"Music, Thriller, Action, Horror",225.2905,6.894,232,0,0,A troupe of ballerinas find themselves fighting for survival as they attempt to escape from a remote inn after their bus breaks down on the way to a dance competition.,"Blood, sweat and tutus.",Vicky Jewson,"Maddie Ziegler, Lana Condor, Iris Apatow, Millicent Simmonds, Avantika","87North Productions, GulfStream Pictures, Pioneer Stillking, Amazon MGM Studios","United States of America, Hungary, United Kingdom",R,"hungary, dance competition, ballerina, prima ballerina, remote inn, admiring, fight for survival, dance troupe",https://image.tmdb.org/t/p/w500/znTPnXCK3lEQJgqXCvP7e5FUz6f.jpg,https://www.themoviedb.org/movie/1084187
687163,tt12042730,Project Hail Mary,Project Hail Mary,en,2026-03-15,2026,157,"Science Fiction, Adventure",211.1002,8.197,1149,200000000,425379224,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone.",Believe in the Hail Mary.,"Phil Lord, Christopher Miller","Ryan Gosling, James Ortiz, Sandra Hüller, Lionel Boyce, Milana Vayntrub","Lord Miller, Amazon MGM Studios, Pascal Pictures, Open Invite Entertainment, Waypoint Entertainment",United States of America,PG-13,"based on novel or book, space travel, space mission, alien, space, shocking, science teacher, save the planet, suspenseful, awestruck",https://image.tmdb.org/t/p/w500/yihdXomYb5kTeSivtFndMy5iDmf.jpg,https://www.themoviedb.org/movie/687163
1265609,tt15940132,War Machine,War Machine,en,2026-02-12,2026,110,"Action, Science Fiction, Thriller",207.1394,7.257,1356,73000000,0,"On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine.",All grit. No quit.,Patrick Hughes,"Alan Ritchson, Dennis Quaid, Stephan James, Jai Courtney, Esai Morales","Lionsgate, Hidden Pictures, Huge Film, Range Media Partners","Australia, United States of America",R,"gore, military training, afghanistan veteran, rangers, alien hunters, alien arrival, military sci-fi, u.s. army ranger, extraterrestrial threat, special forces training",https://image.tmdb.org/t/p/w500/tlPgDzwIE7VYYIIAGCTUOnN4wI1.jpg,https://www.themoviedb.org/movie/1265609
502356,tt6718170,The Super Mario Bros. Movie,The Super Mario Bros. Movie,en,2023-04-05,2023,93,"Family, Comedy, Adventure, Animation, Fantasy",203.275,7.587,10446,100000000,1360879735,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",Not all heroes wear capes. Some wear overalls.,"Aaron Horvath, Michael Jelenic","Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black, Keegan-Michael Key","Universal Pictures, Illumination, Nintendo","Japan, United States of America",PG,"gorilla, plumber, villain, anthropomorphism, magic mushroom, based on video game, nostalgic, toad, aftercreditsstinger, duringcreditsstinger",https://image.tmdb.org/t/p/w500/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,https://www.themoviedb.org/movie/502356
662707,tt1742179,Starbright,Starbright,en,2026-02-27,2026,148,"Adventure, Action",195.386,7.3,10,30000000,0,"A young woman becomes the guardian of a fallen star, which she must protect from dangerous forces with the help of a brave stranger.",,Francesco Lucente,"John Rhys-Davies, Ted Levine, Elisabeth Röhm, Diego Boneta, Alexandra Dowling",Lucente Filmed Entertainment,United States of America,,fairy tale,https://image.tmdb.org/t/p/w500/m1Zl07DNYeSyNcz9hf8hDsS2oB5.jpg,https://www.themoviedb.org/movie/662707
1159831,tt30851137,The Bride!,The Bride!,en,2026-03-04,2026,127,"Science Fiction, Horror, Fantasy",191.4115,6.298,233,80000000,23444025,A lonely Frankenstein travels to 1930s Chicago to ask groundbreaking scientist Dr. Euphronious to create a companion for him. The two revive a murdered young woman and The Bride is born. But what ensues is beyond what either of them imagined.,Here comes the mother f*%#ing bride!,Maggie Gyllenhaal,"Jessie Buckley, Christian Bale, Peter Sarsgaard, John Magaro, Jeannie Berlin","First Love Films, Warner Bros. Pictures, In The Current Company, Domain Entertainment",United States of America,R,"chicago, illinois, new york city, prostitute, based on novel or book, musical, mad scientist, niagara falls, murder, loneliness, police corruption",https://image.tmdb.org/t/p/w500/lV8YHwGkYZsm6EfIqnhaSz2avKt.jpg,https://www.themoviedb.org/movie/1159831
1159559,tt27047903,Scream 7,Scream 7,en,2026-02-25,2026,114,"Horror, Mystery, Crime",185.8734,6.025,687,45000000,209505101,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",Burn it all down.,Kevin Williamson,"Neve Campbell, Courteney Cox, Isabel May, Jasmin Savoy Brown, Mason Gooding","Paramount Pictures, Spyglass Media Group, Project X Entertainment",United States of America,R,"mask, artificial intelligence (a.i.), sequel, murder, serial killer, slasher, whodunit, killing spree, self-referential, reboot",https://image.tmdb.org/t/p/w500/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg,https://www.themoviedb.org/movie/1159559
1084242,tt26443597,Zootopia 2,Zootopia 2,en,2025-11-26,2025,108,"Animation, Family, Mystery, Adventure, Comedy",138.7139,7.603,2498,150000000,1868208796,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",They're back with a twissst.,"Jared Bush, Byron Howard","Ginnifer Goodwin, Jason Bateman, Ke Huy Quan, Fortune Feimster, Andy Samberg","Walt Disney Animation Studios, Walt Disney Animation Studios","United States of America, Canada",PG,"snake, bunny, fox, cop, sequel, anthropomorphism, animals, displacement, buddy cop, buddy comedy",https://image.tmdb.org/t/p/w500/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,https://www.themoviedb.org/movie/1084242
1419406,tt34610311,The Shadow's Edge,捕风追影,zh,2025-08-16,2025,142,"Action, Crime, Drama, Thriller",132.0815,7.2,551,0,174400000,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,He's training a new generation of law enforcers for a dangerous mission to save the world from ruthless criminals.,Larry Yang,"Jackie Chan, Zhang Zifeng, Tony Leung Ka-fai, Ci Sha, Jun","iQIYI Pictures （重复 同 iQiyi Motion Pictures）, Tao Piao Piao 淘票票, Hairun Pictures Company, Dong Fang Chen Xiang","China, Hong Kong",NR,"ex-cop, macau, manhunt, hacked camera system, cryptocurrency, security breach, team of expert thieves, tracking expert, spectacular action scenes",https://image.tmdb.org/t/p/w500/gPbBp0A3NXxc4lHT29TzT0YjTs6.jpg,https://www.themoviedb.org/movie/1419406
1311031,tt32820897,Demon Slayer: Kimetsu no Yaiba Infinity Castle,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,ja,2025-07-18,2025,156,"Animation, Action, Fantasy",130.3975,7.67,781,20000000,733030221,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",It's time to have some fun.,Haruo Sotozaki,"Natsuki Hanae, Takahiro Sakurai, Akira Ishida, Hiro Shimono, Yoshimasa Hosoya","ufotable, Aniplex, Shueisha",Japan,R,"supernatural, sequel, based on manga, demon, shounen, anime, brother sister relationship, taisho period",https://image.tmdb.org/t/p/w500/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg,https://www.themoviedb.org/movie/1311031
848116,tt14993250,Rocky Aur Rani Kii Prem Kahaani,रॉकी और रानी की प्रेम कहानी,hi,2023-07-28,2023,179,"Comedy, Drama, Family, Romance",128.2696,6.131,80,0,0,"Gym-freak brat Rocky falls in love with Rani, who comes from a well-educated Bengali family. Being from polar opposite worlds, the two decide to switch their families to adjust to each other's cultures and backgrounds and to know if their marriage will survive. Rocky and Rani are trapped in a world where they are united by love but divided by families and the ultimate question is will they fit in?",The power of family will decide the fate of love,Karan Johar,"Alia Bhatt, Ranveer Singh, Jaya Bachchan, Shabana Azmi, Dharmendra","Dharma Productions, Viacom18 Studios",India,,"musical, nostalgia, love interest, nostalgic, wealthy family",https://image.tmdb.org/t/p/w500/vTQIqlxUkOuyf2UKhlM2OUaFGKz.jpg,https://www.themoviedb.org/movie/848116
1470130,tt36647890,The Mortuary Assistant,The Mortuary Assistant,en,2026-02-13,2026,91,"Horror, Mystery",122.3344,5.39,41,0,0,"Rebecca Owens, a recent mortuary science graduate takes a night shift job at River Fields Mortuary. Initially, the job seems straightforward — embalming bodies, completing paperwork, and keeping things tidy. But once Rebecca starts working the night shift, things take a dark turn.",Alone with the dead.,Jeremiah Kipp,"Willa Holland, Paul Sparks, John Adams, Mark Steger, Shelly Gibson","Dread, Traverse Media, Epic Pictures Group, Creativity Capital","United States of America, United Kingdom",,"night shift, based on video game, mortuary, macabre, desperate, supernatural horror, psychological horror, callous",https://image.tmdb.org/t/p/w500/72AoFPC5TY4DfJwXXS9rPwPeReD.jpg,https://www.themoviedb.org/movie/1470130
1339876,tt27673536,Mardaani 3,मर्दानी 3,hi,2026-01-30,2026,131,"Action, Crime, Thriller",118.2655,7.8,16,0,0,"Officer Shivani Shivaji Roy returns to hunt down those behind the disappearance of young girls, risking everything to bring them back alive.",Rescue begins,Abhiraj Minawala,"Rani Mukerji, Mallika Prasad, Janki Bodiwala, Jisshu Sengupta, Mikhail Yawalkar",Yash Raj Films,India,,,https://image.tmdb.org/t/p/w500/dHxLBtHw4InwsVumnthupZYz6NM.jpg,https://www.themoviedb.org/movie/1339876
1198994,tt8036976,Send Help,Send Help,en,2026-01-22,2026,113,"Horror, Thriller, Comedy",109.0431,7.061,887,40000000,94037307,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",Meet Linda Liddle... She's from strategy and planning. She's the boss now.,Sam Raimi,"Rachel McAdams, Dylan O'Brien, Edyll Ismail, Dennis Haysbert, Xavier Samuel","Raimi Productions, 20th Century Studios, TSG Entertainment",United States of America,R,"bullying, role reversal, survival, struggle for survival, survival horror, deserted island, power struggle, colleagues, bullying in the workplace, plane crash",https://image.tmdb.org/t/p/w500/mjkS2iAgWj3ik1DTjvI15nHZ7yl.jpg,https://www.themoviedb.org/movie/1198994
1653994,,Shrounding the Heavens Movie：Fighting Against Wang Teng with Copper Coffin,遮天剧场版：背棺战王腾,zh,2026-04-04,2026,0,"Animation, Action",108.4347,8.0,2,0,0,,,,"Xiang Xu, Huang Xiangyu, Li Chanfei","Original Force Animation, Tencent Video",China,,"xianxia, xuanhuan",https://image.tmdb.org/t/p/w500/298clyKoBbZPp4zgUiDSxhCO0wk.jpg,https://www.themoviedb.org/movie/1653994
1193501,tt29550683,Whistle,Whistle,en,2026-01-20,2026,100,"Horror, Mystery",104.1424,5.951,225,2000000,2568027,"A misfit group of unwitting high school students stumble upon a cursed object, an ancient Aztec Death Whistle. They discover that blowing the whistle and the terrifying sound it emits will summon their future deaths to hunt them down.",Don't blow it.,Corin Hardy,"Dafne Keen, Sophie Nélisse, Sky Yang, Jhaleil Swaby, Alissa Skovbye","No Trace Camping, Wild Atlantic Pictures","Ireland, United States of America",R,"high school, grave, evil spirit, school, death, whistle, based on short story, supernatural horror, cautionary, cursed object",https://image.tmdb.org/t/p/w500/eGxPyseSnEZBMJaopGfRUO9HSYx.jpg,https://www.themoviedb.org/movie/1193501
879945,tt16288638,The Unknown Man,L'homme inconnu,nl,2021-10-16,2021,23,Drama,98.6377,8.5,2,0,0,"Louis, a Flemish writer, decides to isolate himself at the Côte d’Azur, hoping this place will bring him inspiration.",,Anthony Schatteman,"Geert Van Rampelberg, Samuel Suchod, Anna Sacuto, Cathy Ruiz","Fonds Audiovisuel de Flandres (VAF), Wenneker","Belgium, France",,"côte d'azur, writer, lgbt, gay theme, short film",https://image.tmdb.org/t/p/w500/4TpBhdaSl5ALHbgeaYOLF8Q3haz.jpg,https://www.themoviedb.org/movie/879945
1316092,tt32897959,"""Wuthering Heights""","""Wuthering Heights""",en,2026-02-11,2026,136,"Romance, Drama",98.2575,6.5,702,80000000,239472843,"Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England.",Come undone.,Emerald Fennell,"Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Shazad Latif","MRC, LuckyChap Entertainment, Lie Still, Warner Bros. Pictures, Domain Entertainment","United States of America, United Kingdom",R,"dying and death, infidelity, based on novel or book, forbidden love, grief, orphan, period drama, biting, sexual sadism, kinky",https://image.tmdb.org/t/p/w500/3YBce6dTh1D5oCMITXk2S5QhPt.jpg,https://www.themoviedb.org/movie/1316092
1168190,tt33046197,The Wrecking Crew,The Wrecking Crew,en,2026-01-28,2026,125,"Action, Comedy, Crime, Mystery",96.2935,6.9,873,78500000,89000000,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",They fight like brothers. They wreck like legends.,Ángel Manuel Soto,"Dave Bautista, Jason Momoa, Temuera Morrison, Morena Baccarin, Roimata Fox","Amazon MGM Studios, On the Roam, Dogbone Entertainment, Henness Ridge Entertainment, 6th & Idaho Motion Picture Company, Reunion Pacific Entertainment","United States of America, Canada",R,"reunion, helicopter chase, brother brother relationship, lighthearted, ambivalent, defiant, loss of father",https://image.tmdb.org/t/p/w500/gbVwHl4YPSq6BcC92TQpe7qUTh6.jpg,https://www.themoviedb.org/movie/1168190
1297454,tt18107136,The Death That Awaits,The Death That Awaits,en,2025-02-06,2025,102,"Horror, Thriller",95.8296,5.833,15,0,0,A drifter searching for answers to a mystery from her past takes on a job looking after a sick teen who is undergoing a mysterious transformation her family will do anything to stop.,,Richard J. Lee,"Katya Martín, Megan Lawless, Allison Paige, Tim Gabriel, Sharon Gardner",,United States of America,NR,"twist, suspense, mystery",https://image.tmdb.org/t/p/w500/7hloUkIXB1Jc0xjSFlO4dcVfzdt.jpg,https://www.themoviedb.org/movie/1297454
1088434,tt14507394,Hellfire,Hellfire,en,2026-02-05,2026,94,"Action, Thriller",93.8345,6.853,68,0,0,A drifter with a mysterious past arrives in a small town and finds the residents in the grip of a ruthless crime boss and realizes he has to help them.,To free the town he'll start a war.,Isaac Florentine,"Stephen Lang, Harvey Keitel, Scottie Thompson, Dolph Lundgren, Chris Mullinax","Price Productions II, Skipstone Pictures, Millman Productions, Ron Lee Productions, Saban Films, Umbrelic Entertainment, Edge Code Films, Focus-Fox Studio, Satyricon Pictures, Vibrant Pictures",United States of America,R,,https://image.tmdb.org/t/p/w500/tQti9QTf13MfzNpXguijgNh7ojE.jpg,https://www.themoviedb.org/movie/1088434
